close,high,low,open,volume,EMA,RSI,VolumeAvg,HighVolume,BuySignal,SellSignal,BullishEngulfing,BearishEngulfing,ScoreIA,TrailStop,SL,TP
83.25799560546875,83.91097154593938,80.73105294291301,80.8936931849323,138808800,71.84926391066166,65.96089508200103,125341840.0,False,False,False,False,False,20,,,
85.46452331542969,85.73640033379766,83.6779473563593,85.31402459590804,165428800,72.08605103074458,70.03115449435879,126854360.0,False,False,False,False,False,20,,,
85.3455810546875,86.27042663858354,85.22421016537945,86.20974119392952,114406400,72.31665155290011,69.54838204785598,127488200.0,False,False,False,False,False,20,,,
85.37956237792969,85.79707850372552,84.77027818647716,85.3018832364117,96820400,72.54383261072671,69.61283312519092,126753980.0,False,False,False,False,False,20,,,
84.89164733886719,86.5520000635857,83.78231573429939,86.08594003974744,264476000,72.75857721469437,67.4067995508152,134843340.0,True,False,False,False,True,40,,,
87.11276245117188,87.25597924702839,85.2387951604758,85.2849167024508,135445200,73.00821521880702,71.78952925855272,137525440.0,False,False,False,False,False,20,,,
88.9721450805664,90.3921859871706,87.93806271848383,88.35800866828109,212155600,73.28584878162023,74.83964819851006,141857120.0,False,False,False,False,False,20,,,
87.40160369873047,89.520742080351,87.02777928766403,88.60074867063001,192623200,73.53134017148302,68.13828806314642,145841020.0,False,False,False,False,False,20,,,
88.56192016601562,88.6007597441656,86.79718989219901,87.5569729349939,137522400,73.79274156269229,70.25725428531508,146039100.0,False,False,False,False,False,20,,,
85.84078979492188,88.67844222378581,85.69271343468253,88.45754628171883,205256800,74.00227283629627,60.15368664528077,148625320.0,False,False,False,False,False,20,,,
87.81912994384766,87.91380280361521,85.27034099055639,85.74854264287053,130646000,74.24256600338413,64.18615383499755,151118060.0,False,False,False,False,False,20,,,
88.55220031738281,88.83864125404429,87.38704271105858,87.40645879441105,140223200,74.49142920884498,65.57632819978403,153747080.0,False,False,False,False,False,20,,,
88.38469696044922,89.17360766512026,88.33615305412683,88.6298685038104,110737200,74.73305125669896,64.95588879592187,154059380.0,False,False,False,False,False,20,,,
88.38469696044922,89.92853837615466,88.27061544704088,89.29255616257464,114041600,74.97047118198157,64.95588879592187,155383440.0,False,False,False,False,False,20,,,
90.7490234375,91.21751333373977,89.78290840638297,89.81446602565468,118655600,75.24488078642537,69.65572140826114,154453700.0,False,False,False,False,False,20,,,
90.46744537353516,91.90690252276751,90.35578621562384,91.12770339021912,112424400,75.50962104011424,68.47786164244044,155292200.0,False,False,False,False,False,20,,,
92.57441711425781,92.60597472603237,91.3582786143033,91.44566949367056,117092000,75.80640010227326,72.25808763306054,153761180.0,False,False,False,False,False,20,,,
92.9725570678711,93.52114860400306,91.92391051231417,93.46774510141748,125642800,76.10494196254453,72.9189771907507,151710740.0,False,False,False,False,False,20,,,
93.13516998291016,93.19343305098592,91.95544841683225,92.56715507244024,90257200,76.40111984115958,73.19980134820976,146140480.0,False,False,False,False,False,20,,,
92.70552825927734,97.0530350925637,92.49191427496272,94.44113076999513,191649200,76.68467477017033,71.10189228530265,145715640.0,False,False,False,False,False,40,,,
94.2396469116211,94.43140759023446,91.15197107556455,92.08652103195597,170989200,76.98997863349992,73.97055118938164,147324660.0,False,False,False,False,False,40,,,
94.88777160644531,96.3660683335281,93.68862647798679,96.11604456670572,153198000,77.3012445982468,75.09534852039954,146713120.0,False,False,False,False,False,40,,,
93.72017669677734,94.57705491810681,93.1206041798998,93.75901627207651,110577600,77.58679124343863,69.28667048926629,146521680.0,False,False,False,False,False,40,,,
